LON,LAT,EEZID,Potential_Farm_Location,MHW,TS_AEP,Cat1_AEP,Cat2_AEP,Cat3_AEP,Cat4_AEP,Cat5_AEP,bathymetry_class
-177.75,-43.75,554,1,78.9014664,3.5570066,1.331123,0.0466261,0.0274248,0.0188401,,-100
-177.75,-43.25,554,1,79.0184021,3.5887611,1.3981378,0.0389947,0.026566,0.0171127,,-100
-177.75,-42.75,554,1,79.1050873,3.7965794,1.3143286,0.0420686,0.0194515,0.0124035,,-100
-177.75,-42.25,554,1,82.7120209,3.7703362,1.3089941,0.0314141,0.0166007,,,-100
-177.75,47.75,959,1,116.8637772,1.1497521,0.6613626,0.1358777,0.0359814,0.0201399,,-100
-177.75,48.25,959,1,116.9991531,1.0240241,0.6251262,0.1531089,0.0267309,0.0158442,,-100
-177.75,48.75,959,1,114.2354736,1.0084186,0.6088151,0.137407,0.032103,0.0148061,,-100
-177.75,51.75,959,1,107.3281403,0.8285282,0.4888745,0.1018654,0.0218857,,,-100
-177.75,52.75,959,1,104.6109161,0.7222969,0.453136,0.0717525,0.020279,0.0125266,,-100
-177.75,53.25,959,1,103.2790222,0.7158906,0.401006,0.0570479,0.0185308,0.0127252,,-100
-177.75,53.75,959,1,105.5243683,0.7415512,0.4232969,0.0614994,0.0186952,0.0140793,,-100
-177.75,57.75,959,1,112.4087219,0.4842864,0.2765214,0.0455125,0.0196021,,,-100
-177.75,58.25,959,1,108.9346085,0.4504299,0.2675903,0.0467068,0.0136746,,,-100
-177.75,58.75,959,1,116.5833282,0.39315,0.2396593,0.0420175,0.0137525,,,-100
-177.75,60.25,649,1,116.5833282,,,,,,,-100
-177.75,60.75,649,1,,,,,,,,-100
-177.75,61.25,649,1,,,,,,,,-100
-177.75,61.75,649,1,,,,,,,,-100
-177.75,62.25,649,1,,,,,,,,-50
-177.75,62.75,649,1,,,,,,,,-50
-177.75,63.25,649,1,,,,,,,,-50
-177.75,63.75,649,1,,,,,,,,-50
-177.75,64.25,649,1,,,,,,,,-50
-177.75,64.75,649,1,,,,,,,,-30
-177.75,65.25,649,1,,,,,,,,5
-177.75,68.75,913,1,,,,,,,,-30
-177.75,69.25,913,1,,,,,,,,-30
-177.75,69.75,913,1,,,,,,,,-30
-177.25,-52.25,554,1,51.5397377,1.6485525,0.7826277,0.080311,0.013053,,,-100
-177.25,-51.25,554,1,56.977211,1.8166412,0.8058949,0.074218,0.0249711,,,-100
-177.25,-50.75,554,1,56.977211,1.8292632,0.8956843,0.0829261,0.0262897,,,-100
-177.25,-50.25,554,1,67.5359116,1.9109528,0.8447496,0.0695011,0.0252923,,,-100
-177.25,-49.75,554,1,67.5359116,1.9691372,0.8764482,0.0695714,0.02308,,,-100
-177.25,-49.25,554,1,76.8224716,2.048058,0.8216477,0.0739429,0.0260993,,,-100
-177.25,-48.75,554,1,76.8224716,2.2153847,0.8912902,0.0432632,0.0266519,,,-100
-177.25,-48.25,554,1,93.0741425,2.3493443,0.9402285,0.0411185,0.0284917,,,-100
-177.25,-47.75,554,1,93.0741425,2.4088027,1.052511,0.051784,0.0308243,,,-100
-177.25,-47.25,554,1,91.0900726,2.4837532,1.025265,0.0569127,0.0319937,,,-100
-177.25,-46.75,554,1,91.0900726,2.783792,0.9964539,0.033035,0.0333037,,,-100
-177.25,-46.25,554,1,78.59272,2.9429426,1.0935484,0.0398395,0.0320518,0.0164248,,-100
-177.25,-45.75,554,1,78.59272,3.1438491,1.1891832,0.0614846,0.0321389,0.0175312,,-100
-177.25,-45.25,554,1,80.953804,3.4191437,1.3053032,0.0485702,0.0313887,0.0183281,,-100
-177.25,-44.75,554,1,80.953804,3.6589475,1.41058,0.047383,0.0336066,0.0196485,,-100
-177.25,-44.25,554,1,80.5527267,3.6743431,1.3807353,0.050249,0.028587,0.0194822,,-100
-177.25,-43.75,554,1,80.5527267,3.8425226,1.3765101,0.0493368,0.0278445,0.0198364,,-100
-177.25,-43.25,554,1,79.0184021,3.6882627,1.3748829,0.039636,0.0332488,0.0232658,,-100
-177.25,-42.75,554,1,79.0184021,3.9043784,1.376459,0.0413752,0.0201579,0.0132411,,-100
-177.25,-42.25,554,1,82.7120209,4.0242972,1.4102154,0.029062,0.0134291,,,-100
-177.25,48.25,959,1,116.8637772,1.2054847,0.7236633,0.1699616,0.0371154,0.0194225,,-100
-177.25,48.75,959,1,114.2354736,1.1922519,0.7085305,0.1492634,0.0272429,0.0163949,,-100
-177.25,52.75,959,1,104.6109161,0.9616939,0.515685,0.095669,0.0152622,,,-100
-177.25,55.25,959,1,106.371727,0.8063306,0.4801106,0.1018513,0.017672,,,-100
-177.25,57.75,959,1,112.4087219,0.6584692,0.3883765,0.0643596,0.0197357,,,-100
-177.25,58.25,959,1,112.4087219,0.6438555,0.3656531,0.0578749,0.0164623,,,-100
-177.25,58.75,959,1,116.5833282,0.5168707,0.312912,0.0663191,0.0143086,,,-100
-177.25,59.25,959,1,116.5833282,0.4456389,0.2449232,0.0514159,0.0168107,,,-100
-177.25,59.75,649,1,116.5833282,0.3350879,0.1829768,0.0279499,0.0141757,,,-100
-177.25,60.25,649,1,116.5833282,,,,,,,-100
-177.25,60.75,649,1,,,,,,,,-100
-177.25,61.25,649,1,,,,,,,,-100
-177.25,61.75,649,1,,,,,,,,-100
-177.25,62.25,649,1,,,,,,,,-50
-177.25,62.75,649,1,,,,,,,,-50
-177.25,63.25,649,1,,,,,,,,-50
-177.25,63.75,649,1,,,,,,,,-50
-177.25,64.25,649,1,,,,,,,,-50
-177.25,64.75,649,1,,,,,,,,-30
-177.25,65.25,649,1,,,,,,,,5
-177.25,68.75,913,1,,,,,,,,-30
-177.25,69.25,913,1,,,,,,,,-30
-177.25,69.75,913,1,,,,,,,,-30
-176.75,-51.75,554,1,51.5397377,1.8239985,0.8574275,0.0760662,0.0185476,,,-100
-176.75,-50.75,554,1,56.977211,1.928213,0.8350369,0.0935309,0.0248335,,,-100
-176.75,-50.25,554,1,75.3893433,1.9946562,0.8906702,0.0885071,0.0255185,,,-100
-176.75,-49.75,554,1,67.5359116,2.0505402,0.9469595,0.0699912,0.0245886,,,-100
-176.75,-49.25,554,1,80.4606628,2.1423306,0.9257243,0.0569923,0.0264207,,,-100
-176.75,-48.75,554,1,76.8224716,2.3072214,0.8797139,0.0369736,0.0273852,,,-100
-176.75,-48.25,554,1,90.6561432,2.4180684,0.9827303,0.0482561,0.0282295,,,-100
-176.75,-47.75,554,1,93.0741425,2.4555104,1.0103815,0.0423571,0.0314181,,,-100
