LON,LAT,EEZID,Potential_Farm_Location,MHW,TS_AEP,bathymetry_class,N_components,RiskScore
-177.25,-49.75,554,1,67.5359116,1.9691372,-100,3,5.663737471
-177.25,-49.25,554,1,76.8224716,2.048058,-100,3,6.109844844
-177.25,-48.75,554,1,76.8224716,2.2153847,-100,3,6.155567761
-177.25,-48.25,554,1,93.0741425,2.3493443,-100,3,7.459288755
-177.25,-47.75,554,1,93.0741425,2.4088027,-100,3,7.48276809
-177.25,-47.25,554,1,91.0900726,2.4837532,-100,3,7.380200467
-177.25,-46.75,554,1,91.0900726,2.783792,-100,3,7.438280928
-177.25,-46.25,554,1,78.59272,2.9429426,-100,3,6.508993547
-177.25,-45.75,554,1,78.59272,3.1438491,-100,3,6.579431553
-177.25,-45.25,554,1,80.953804,3.4191437,-100,3,6.906906495
-177.25,-44.75,554,1,80.953804,3.6589475,-100,3,6.950157902
-177.25,-44.25,554,1,80.5527267,3.6743431,-100,3,6.909378004
-177.25,-43.75,554,1,80.5527267,3.8425226,-100,3,6.951393656
-177.25,-43.25,554,1,79.0184021,3.6882627,-100,3,6.741315392
-177.25,-42.75,554,1,79.0184021,3.9043784,-100,3,6.804338871
-177.25,-42.25,554,1,82.7120209,4.0242972,-100,3,7.128106549
-177.25,48.25,959,1,116.8637772,1.2054847,-100,3,7.633530139
-177.25,48.75,959,1,114.2354736,1.1922519,-100,3,7.524783743
-177.25,52.75,959,1,104.6109161,0.9616939,-100,3,6.607853906
-177.25,55.25,959,1,106.371727,0.8063306,-100,3,6.42743375
-177.25,57.75,959,1,112.4087219,0.6584692,-100,3,6.527529864
-177.25,58.25,959,1,112.4087219,0.6438555,-100,3,6.513936565
-177.25,58.75,959,1,116.5833282,0.5168707,-100,3,6.541123164
-177.25,59.25,959,1,116.5833282,0.4456389,-100,3,6.437319786
-177.25,59.75,649,1,116.5833282,0.3350879,-100,3,6.237127557
-177.25,60.25,649,1,116.5833282,NA,-100,2,8.366950433
-176.75,-51.75,554,1,51.5397377,1.8239985,-100,3,4.52313607
-176.75,-50.75,554,1,56.977211,1.928213,-100,3,5.101469175
-176.75,-50.25,554,1,75.3893433,1.9946562,-100,3,5.993683921
