Unit_ID,Unit_Name,Country_Area,Status,Production_start_year,Operator,Latitude,Longitude,Cat_3,Bathymetry_class,RiskScore
OG0016690,South Pass Block 24 - Whiting,United States,operating,NA,Whitney Oil & Gas,29.04078997,-89.28189045,0.3423115,-1,9.885714286
OG0018907,MC074 - Llog Exploration Offshore,United States,operating,NA,LLOG Exploration Offshore,28.908,-88.489,0.4077174,-100,7.257142857
OG0020745,Who Dat East (MC509) - LLOG,United States,discovered,NA,LLOG Exploration Offshore,28.549,-88.718,0.341526,-100,5.471428571
OG0020751,MP127 - Cantium,United States,operating,NA,Cantium,29.429,-88.897,0.3268546,-10,9.6
OG0011605,Hebron,Canada,operating,2017,ExxonMobil,47.181,-48.338,0.0469541,-100,2.528571429
OG0011606,Hibernia,Canada,operating,1997,HDMC,47.342,-48.665,0.0297978,-100,2.314285714
OG0011607,North Amethyst,Canada,operating,2010,Cenovus Energy,47.413,-47.896,0.0333528,-100,2.378571429
OG0011609,White Rose,Canada,operating,2005,Cenovus Energy,47.48,-47.923,0.0333528,-100,2.378571429
OG0020051,Bay du Nord,Canada,discovered,2030 (expected),Equinor Canada,47.953848,-46.441628,0.034491,-100,2.414285714
OG0020052,Cappahayden,Canada,discovered,2030 (expected),Equinor Canada,47.956985,-46.669856,0.0280643,-100,2.228571429
OG0020053,Mizzen,Canada,discovered,NA,Equinor Canada,48.242589,-46.290266,0.034546,-100,2.428571429
OG0020054,Baccalieu,Canada,discovered,NA,Equinor Canada,48.008228,-46.198865,0.0357754,-100,2.492857143
OG0020055,Harpoon,Canada,discovered,NA,Equinor Canada,48.078669,-46.213636,0.0357754,-100,2.492857143
OG0020056,West Bonne Bay,Canada,discovered,NA,Equinor Canada,46.519395,-48.300303,0.0521062,-50,4.935714286
OG0020058,North Ben Nevis,Canada,discovered,NA,Cenovus Energy,46.676812,-48.410025,0.0493617,-50,4.778571429
OG0020059,Springdale,Canada,discovered,NA,Equinor Canada,46.424944,-48.286415,0.0589197,-50,5.057142857
OG0020060,South Mara,Canada,discovered,NA,ExxonMobil Canada,46.674922,-48.486416,0.0493617,-50,4.778571429
OG0020061,North Dana,Canada,discovered,NA,ExxonMobil Canada,47.234334,-47.603567,0.0642298,-100,2.671428571
OG0020062,Ballicatters,Canada,discovered,NA,Suncor Energy,46.790224,-48.542665,0.0475255,-50,4.707142857
OG0017521,Anchois Phase 1,Morocco,discovered,2027 (expected),Energean,35.11044051,-6.605565898,0.0463201,-100,2.514285714
OG0012192,Abuzar,Iran,operating,1976,Iranian Offshore Oil Company,29.292,49.532,0.0238579,-30,5.085714286
OG0012207,Doroud,Iran,operating,1965,Iranian Offshore Oil Company,29.2227,50.2625,0.0231581,-30,4.871428571
OG0012215,Soroosh,Iran,operating,1970,Iranian Offshore Oil Company,29.047,49.5161,0.0243886,-30,5.228571429
OG0012405,Dorra,Kuwait-Saudi Arabia-Iran,in development,2029 (expected),Khafji Joint Operations,28.9686,49.1122,0.0154045,-30,3
